2023-07-20 05:58:03.412 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/Desktop/Restaurant-Menu/restaurants/settings/__pycache__/base.cpython-38.pyc first seen with mtime 1689832329.748059
2023-07-20 05:58:03.412 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/Desktop/Restaurant-Menu/restaurants/settings/__pycache__/development.cpython-38.pyc first seen with mtime 1689832329.748059
2023-07-20 05:58:03.412 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/Desktop/Restaurant-Menu/restaurants/settings/__pycache__/__init__.cpython-38.pyc first seen with mtime 1689832316.0716884
2023-07-20 05:58:03.413 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/django_otp/templates/otp first seen with mtime 1689665919.8643777
2023-07-20 05:58:03.413 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/django_otp/templates/otp/admin111 first seen with mtime 1689665919.8643777
2023-07-20 05:58:03.413 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/django_otp/templates/otp/admin111/login.html first seen with mtime 1689665919.8643777
2023-07-20 05:58:03.414 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/pt/LC_MESSAGES/django.mo first seen with mtime 1671005482.8713193
2023-07-20 05:58:03.415 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/da/LC_MESSAGES/django.mo first seen with mtime 1671005482.8633192
2023-07-20 05:58:03.415 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/id/LC_MESSAGES/django.mo first seen with mtime 1671005482.8673193
2023-07-20 05:58:03.415 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/ro/LC_MESSAGES/django.mo first seen with mtime 1671005482.8713193
2023-07-20 05:58:03.416 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/ru_RU/LC_MESSAGES/django.mo first seen with mtime 1671005482.8713193
2023-07-20 05:58:03.416 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/et/LC_MESSAGES/django.mo first seen with mtime 1671005482.8633192
2023-07-20 05:58:03.416 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/sl/LC_MESSAGES/django.mo first seen with mtime 1671005482.8753195
2023-07-20 05:58:03.417 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/el_GR/LC_MESSAGES/django.mo first seen with mtime 1671005482.8633192
2023-07-20 05:58:03.417 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/zh_Hant/LC_MESSAGES/django.mo first seen with mtime 1671005482.8753195
2023-07-20 05:58:03.417 DEBUG    django.utils.autoreload:394 File /home/dsaidthimmareddy/.local/lib/python3.8/site-packages/rest_framework/locale/tr_TR/LC_MESSAGES/django.mo first seen with mtime 1671005482.8753195
